001:00:31.252,,,,,,ZONE_TIMERS,592.757,1207.892,1034.894,765.755,931.11,869.539,1018.187,782.461
001:00:31.253,,,,,,ZONE_COUNTERS,267,268,408,409,101,101,252,253
001:00:31.256,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:00:31.256,,,,,,TOTAL_ARENA_DISTANCES,299214,322780,95749,289528,,,,
001:03:03.844,,,,PROBE,PROBE1,VARIABLE,ARENA1_ZONE1_REDCS,ARENA1_ZONE2_YELNON,ARENA2_ZONE1_REDCS,ARENA2_ZONE2_YELNON,ARENA3_ZONE1_REDCS,ARENA3_ZONE2_YELNON,ARENA4_ZONE1_REDCS,ARENA4_ZONE2_YELNON
001:03:03.844,,,,,,ZONE_DISTANCES,9468,9805,4223,3196,2356,1649,0,0
001:03:03.845,,,,,,ZONE_TIMERS,31.952,28.116,50.792,9.276,56.243,3.826,0,60.069
001:03:03.846,,,,,,ZONE_COUNTERS,26,25,10,10,6,5,0,1
001:03:03.846,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:03:03.847,,,,,,TOTAL_ARENA_DISTANCES,19273,7419,4006,0,,,,
001:04:03.961,,,,PROBE,PROBE2,VARIABLE,ARENA1_ZONE1_YELNON,ARENA1_ZONE2_REDCS,ARENA2_ZONE1_YELNON,ARENA2_ZONE2_REDCS,ARENA3_ZONE1_YELNON,ARENA3_ZONE2_REDCS,ARENA4_ZONE1_YELNON,ARENA4_ZONE2_REDCS
001:04:03.961,,,,,,ZONE_DISTANCES,9340,8341,6104,7031,2197,2559,0,0
001:04:03.962,,,,,,ZONE_TIMERS,30.623,29.493,19.564,40.552,7.276,52.84,0,60.117
001:04:03.963,,,,,,ZONE_COUNTERS,24,24,17,17,6,6,0,1
001:04:03.963,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:04:03.964,,,,,,TOTAL_ARENA_DISTANCES,17681,13135,4756,0,,,,
001:05:04.045,,,,PROBE,PROBE3,VARIABLE,ARENA1_ZONE1_REDCS,ARENA1_ZONE2_YELNON,ARENA2_ZONE1_REDCS,ARENA2_ZONE2_YELNON,ARENA3_ZONE1_REDCS,ARENA3_ZONE2_YELNON,ARENA4_ZONE1_REDCS,ARENA4_ZONE2_YELNON
001:05:04.045,,,,,,ZONE_DISTANCES,6377,5899,6088,5153,1831,1246,0,0
001:05:04.046,,,,,,ZONE_TIMERS,33.747,26.336,39.97,20.113,56.523,3.56,0,60.083
001:05:04.047,,,,,,ZONE_COUNTERS,16,17,14,14,4,4,0,1
001:05:04.047,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:05:04.048,,,,,,TOTAL_ARENA_DISTANCES,12276,11241,3077,0,,,,
001:06:04.168,,,,PROBE,PROBE4,VARIABLE,ARENA1_ZONE1_YELNON,ARENA1_ZONE2_REDCS,ARENA2_ZONE1_YELNON,ARENA2_ZONE2_REDCS,ARENA3_ZONE1_YELNON,ARENA3_ZONE2_REDCS,ARENA4_ZONE1_YELNON,ARENA4_ZONE2_REDCS
001:06:04.169,,,,,,ZONE_DISTANCES,4827,4906,5123,6021,2195,3434,0,0
001:06:04.171,,,,,,ZONE_TIMERS,27.567,32.555,19.557,40.565,9.36,50.762,0,60.122
001:06:04.172,,,,,,ZONE_COUNTERS,12,13,15,15,7,7,0,1
001:06:04.175,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:06:04.176,,,,,,TOTAL_ARENA_DISTANCES,9734,11144,5629,0,,,,
001:07:04.285,,,,PROBE,PROBE5,VARIABLE,ARENA1_ZONE1_REDCS,ARENA1_ZONE2_YELNON,ARENA2_ZONE1_REDCS,ARENA2_ZONE2_YELNON,ARENA3_ZONE1_REDCS,ARENA3_ZONE2_YELNON,ARENA4_ZONE1_REDCS,ARENA4_ZONE2_YELNON
001:07:04.286,,,,,,ZONE_DISTANCES,6205,5415,5733,4299,1253,696,0,0
001:07:04.287,,,,,,ZONE_TIMERS,34.36,25.756,42.402,17.714,56.431,3.686,0,60.117
001:07:04.287,,,,,,ZONE_COUNTERS,15,16,13,13,2,2,0,1
001:07:04.288,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:07:04.288,,,,,,TOTAL_ARENA_DISTANCES,11620,10032,1949,0,,,,
001:07:04.379,,,,PROBE,TOTALPROBE,VARIABLE,ARENA1_ZONE1,ARENA1_ZONE2,ARENA2_ZONE1,ARENA2_ZONE2,ARENA3_ZONE1,ARENA3_ZONE2,ARENA4_ZONE1,ARENA4_ZONE2
001:07:04.382,,,,,,ZONE_DISTANCES,36217,34366,27271,25700,9832,9584,0,0
001:07:04.385,,,,,,ZONE_TIMERS,158.251,142.259,172.288,128.223,185.836,114.675,0,300.511
001:07:04.387,,,,,,ZONE_COUNTERS,92,92,67,67,23,22,0,1
001:07:04.389,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:07:04.392,,,,,,TOTAL_ARENA_DISTANCES,70583,52970,19416,0,,,,
001:07:04.394,Info,24/6/19 5:10,Service 'REDYEL' : Execution end,,,,,,,,,,,
