001:00:31.052,,,,,,ZONE_TIMERS,1155.026,645.389,1092.969,707.445,1583.643,216.771,431.367,1369.048
001:00:31.052,,,,,,ZONE_COUNTERS,292,292,312,311,36,35,252,251
001:00:31.053,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:00:31.053,,,,,,TOTAL_ARENA_DISTANCES,255553,268402,32741,205414,,,,
001:03:02.948,,,,PROBE,PROBE1,VARIABLE,ARENA1_ZONE1_MAGCS,ARENA1_ZONE2_ORANON,ARENA2_ZONE1_MAGCS,ARENA2_ZONE2_ORANON,ARENA3_ZONE1_MAGCS,ARENA3_ZONE2_ORANON,ARENA4_ZONE1_MAGCS,ARENA4_ZONE2_ORANON
001:03:02.949,,,,,,ZONE_DISTANCES,0,0,228,587,18,0,13,0
001:03:02.949,,,,,,ZONE_TIMERS,60.052,0,0.642,59.409,60.052,0,60.052,0
001:03:02.950,,,,,,ZONE_COUNTERS,1,0,1,2,1,0,1,0
001:03:02.950,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:03:02.950,,,,,,TOTAL_ARENA_DISTANCES,0,815,18,13,,,,
001:04:03.239,,,,PROBE,PROBE2,VARIABLE,ARENA1_ZONE1_ORANON,ARENA1_ZONE2_MAGCS,ARENA2_ZONE1_ORANON,ARENA2_ZONE2_MAGCS,ARENA3_ZONE1_ORANON,ARENA3_ZONE2_MAGCS,ARENA4_ZONE1_ORANON,ARENA4_ZONE2_MAGCS
001:04:03.240,,,,,,ZONE_DISTANCES,110,0,0,0,12,0,20,0
001:04:03.240,,,,,,ZONE_TIMERS,60.291,0,0,60.291,60.291,0,60.291,0
001:04:03.240,,,,,,ZONE_COUNTERS,1,0,0,1,1,0,1,0
001:04:03.241,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:04:03.241,,,,,,TOTAL_ARENA_DISTANCES,110,0,12,20,,,,
